time,total_active_kw,total_daily_pv_kwh,total_daily_kwh,mean_inner_temp,status_ok
2025-01-01 18:30:00,0.0,0.0,7595.849999999999,23.578082191780823,0
2025-01-01 18:45:00,0.0,0.0,7749.79,21.83243243243243,0
2025-01-01 19:00:00,0.0,0.0,7749.79,20.48918918918919,0
2025-01-01 19:15:00,0.0,0.0,7595.849999999999,19.53287671232877,0
2025-01-01 19:30:00,0.0,0.0,7749.79,18.18783783783784,0
2025-01-01 19:45:00,0.0,0.0,7595.849999999999,17.47671232876712,0
2025-01-01 20:00:00,0.0,0.0,7518.36,16.670833333333334,0
2025-01-01 20:15:00,0.0,0.0,7518.36,15.887500000000001,0
2025-01-01 20:30:00,0.0,0.0,7659.8099999999995,14.868918918918919,0
2025-01-01 20:45:00,0.0,0.0,7659.8099999999995,14.135135135135135,0
2025-01-01 21:00:00,0.0,0.0,7659.8099999999995,13.39054054054054,0
2025-01-01 21:15:00,0.0,0.0,7659.8099999999995,12.754054054054054,0
2025-01-01 21:30:00,0.0,0.0,7659.8099999999995,12.174324324324324,0
2025-01-01 21:45:00,0.0,0.0,7659.8099999999995,11.645945945945945,0
2025-01-01 22:00:00,0.0,0.0,7659.8099999999995,11.27027027027027,0
2025-01-01 22:15:00,0.0,0.0,7659.8099999999995,10.7,0
2025-01-01 22:30:00,0.0,0.0,7659.8099999999995,10.272972972972974,0
2025-01-01 22:45:00,0.0,0.0,7659.8099999999995,9.882432432432433,0
2025-01-01 23:00:00,0.0,0.0,7659.8099999999995,9.52972972972973,0
2025-01-01 23:15:00,0.0,0.0,7659.8099999999995,9.224324324324325,0
2025-01-01 23:30:00,0.0,0.0,7490.3099999999995,8.95068493150685,0
2025-01-01 23:45:00,0.0,0.0,6257.099999999999,7.9378787878787875,0
2025-01-02 00:00:00,0.0,0.0,0.0,7.698484848484849,0
2025-01-02 00:15:00,0.0,0.0,0.0,7.474242424242425,0
2025-01-02 00:30:00,0.0,0.0,0.0,8.031506849315068,0
2025-01-02 00:45:00,0.0,0.0,0.0,7.9150684931506845,0
2025-01-02 01:00:00,0.0,0.0,0.0,7.795890410958904,0
2025-01-02 01:15:00,0.0,0.0,0.0,7.609589041095891,0
2025-01-02 01:30:00,0.0,0.0,0.0,7.464383561643835,0
2025-01-02 01:45:00,0.0,0.0,0.0,7.3410958904109584,0
2025-01-02 02:00:00,0.0,0.0,0.0,7.173972602739727,0
2025-01-02 02:15:00,0.0,0.0,0.0,7.163888888888888,0
2025-01-02 02:30:00,0.0,0.0,0.0,6.919178082191781,0
2025-01-02 02:45:00,0.0,0.0,0.0,6.8561643835616435,0
2025-01-02 03:00:00,0.0,0.0,0.0,6.682191780821918,0
2025-01-02 03:15:00,0.0,0.0,0.0,6.5561643835616445,0
2025-01-02 03:30:00,0.0,0.0,0.0,6.46027397260274,0
2025-01-02 03:45:00,0.0,0.0,0.0,6.3410958904109584,0
2025-01-02 04:00:00,0.0,0.0,0.0,6.241095890410959,0
2025-01-02 04:15:00,0.0,0.0,0.0,6.290277777777778,0
2025-01-02 04:30:00,0.0,0.0,0.0,6.116438356164384,0
2025-01-02 04:45:00,0.0,0.0,0.0,6.036986301369863,0
2025-01-02 05:00:00,0.0,0.0,0.0,5.973972602739726,0
2025-01-02 05:15:00,0.0,0.0,0.0,5.915068493150685,0
2025-01-02 05:30:00,0.0,0.0,0.0,5.8863013698630136,0
2025-01-02 05:45:00,0.0,0.0,0.0,5.968055555555555,0
